season,round,circuit,driver,team,grid,position,points,status,podium
2022,1,Bahrain Grand Prix,LEC,Ferrari,1.0,1.0,26.0,Finished,1
2022,1,Bahrain Grand Prix,SAI,Ferrari,3.0,2.0,18.0,Finished,1
2022,1,Bahrain Grand Prix,HAM,Mercedes,5.0,3.0,15.0,Finished,1
2022,1,Bahrain Grand Prix,RUS,Mercedes,9.0,4.0,12.0,Finished,0
2022,1,Bahrain Grand Prix,MAG,Haas F1 Team,7.0,5.0,10.0,Finished,0
2022,1,Bahrain Grand Prix,BOT,Alfa Romeo,6.0,6.0,8.0,Finished,0
2022,1,Bahrain Grand Prix,OCO,Alpine,11.0,7.0,6.0,Finished,0
2022,1,Bahrain Grand Prix,TSU,AlphaTauri,16.0,8.0,4.0,Finished,0
2022,1,Bahrain Grand Prix,ALO,Alpine,8.0,9.0,2.0,Finished,0
2022,1,Bahrain Grand Prix,ZHO,Alfa Romeo,15.0,10.0,1.0,Finished,0
2022,1,Bahrain Grand Prix,MSC,Haas F1 Team,12.0,11.0,0.0,Finished,0
2022,1,Bahrain Grand Prix,STR,Aston Martin,19.0,12.0,0.0,Finished,0
2022,1,Bahrain Grand Prix,ALB,Williams,14.0,13.0,0.0,Finished,0
2022,1,Bahrain Grand Prix,RIC,McLaren,18.0,14.0,0.0,Finished,0
2022,1,Bahrain Grand Prix,NOR,McLaren,13.0,15.0,0.0,Finished,0
2022,1,Bahrain Grand Prix,LAT,Williams,20.0,16.0,0.0,Finished,0
2022,1,Bahrain Grand Prix,HUL,Aston Martin,17.0,17.0,0.0,Finished,0
2022,1,Bahrain Grand Prix,PER,Red Bull Racing,4.0,18.0,0.0,Fuel pressure,0
2022,1,Bahrain Grand Prix,VER,Red Bull Racing,2.0,19.0,0.0,Fuel pressure,0
2022,1,Bahrain Grand Prix,GAS,AlphaTauri,10.0,20.0,0.0,Power Unit,0
2022,2,Saudi Arabian Grand Prix,VER,Red Bull Racing,4.0,1.0,25.0,Finished,1
2022,2,Saudi Arabian Grand Prix,LEC,Ferrari,2.0,2.0,19.0,Finished,1
2022,2,Saudi Arabian Grand Prix,SAI,Ferrari,3.0,3.0,15.0,Finished,1
2022,2,Saudi Arabian Grand Prix,PER,Red Bull Racing,1.0,4.0,12.0,Finished,0
2022,2,Saudi Arabian Grand Prix,RUS,Mercedes,6.0,5.0,10.0,Finished,0
2022,2,Saudi Arabian Grand Prix,OCO,Alpine,5.0,6.0,8.0,Finished,0
2022,2,Saudi Arabian Grand Prix,NOR,McLaren,11.0,7.0,6.0,Finished,0
2022,2,Saudi Arabian Grand Prix,GAS,AlphaTauri,9.0,8.0,4.0,Finished,0
2022,2,Saudi Arabian Grand Prix,MAG,Haas F1 Team,10.0,9.0,2.0,Finished,0
2022,2,Saudi Arabian Grand Prix,HAM,Mercedes,15.0,10.0,1.0,Finished,0
2022,2,Saudi Arabian Grand Prix,ZHO,Alfa Romeo,12.0,11.0,0.0,Finished,0
2022,2,Saudi Arabian Grand Prix,HUL,Aston Martin,17.0,12.0,0.0,Finished,0
2022,2,Saudi Arabian Grand Prix,STR,Aston Martin,13.0,13.0,0.0,+1 Lap,0
2022,2,Saudi Arabian Grand Prix,ALB,Williams,16.0,14.0,0.0,Collision damage,0
2022,2,Saudi Arabian Grand Prix,BOT,Alfa Romeo,8.0,15.0,0.0,Cooling system,0
2022,2,Saudi Arabian Grand Prix,ALO,Alpine,7.0,16.0,0.0,Water pump,0
2022,2,Saudi Arabian Grand Prix,RIC,McLaren,14.0,17.0,0.0,Gearbox,0
2022,2,Saudi Arabian Grand Prix,LAT,Williams,18.0,18.0,0.0,Accident,0
2022,2,Saudi Arabian Grand Prix,TSU,AlphaTauri,19.0,19.0,0.0,Power Unit,0
2022,2,Saudi Arabian Grand Prix,MSC,Haas F1 Team,,,0.0,Withdrew,0
2022,3,Australian Grand Prix,LEC,Ferrari,1.0,1.0,26.0,Finished,1
2022,3,Australian Grand Prix,PER,Red Bull Racing,3.0,2.0,18.0,Finished,1
2022,3,Australian Grand Prix,RUS,Mercedes,6.0,3.0,15.0,Finished,1
2022,3,Australian Grand Prix,HAM,Mercedes,5.0,4.0,12.0,Finished,0
2022,3,Australian Grand Prix,NOR,McLaren,4.0,5.0,10.0,Finished,0
2022,3,Australian Grand Prix,RIC,McLaren,7.0,6.0,8.0,Finished,0
2022,3,Australian Grand Prix,OCO,Alpine,8.0,7.0,6.0,Finished,0
2022,3,Australian Grand Prix,BOT,Alfa Romeo,12.0,8.0,4.0,Finished,0
2022,3,Australian Grand Prix,GAS,AlphaTauri,11.0,9.0,2.0,Finished,0
2022,3,Australian Grand Prix,ALB,Williams,20.0,10.0,1.0,Finished,0
2022,3,Australian Grand Prix,ZHO,Alfa Romeo,14.0,11.0,0.0,Finished,0
2022,3,Australian Grand Prix,STR,Aston Martin,19.0,12.0,0.0,Finished,0
2022,3,Australian Grand Prix,MSC,Haas F1 Team,15.0,13.0,0.0,+1 Lap,0
2022,3,Australian Grand Prix,MAG,Haas F1 Team,16.0,14.0,0.0,+1 Lap,0
2022,3,Australian Grand Prix,TSU,AlphaTauri,13.0,15.0,0.0,+1 Lap,0
2022,3,Australian Grand Prix,LAT,Williams,18.0,16.0,0.0,+1 Lap,0
2022,3,Australian Grand Prix,ALO,Alpine,10.0,17.0,0.0,+1 Lap,0
2022,3,Australian Grand Prix,VER,Red Bull Racing,2.0,18.0,0.0,Fuel leak,0
2022,3,Australian Grand Prix,VET,Aston Martin,17.0,19.0,0.0,Accident,0
2022,3,Australian Grand Prix,SAI,Ferrari,9.0,20.0,0.0,Spun off,0
2022,4,Emilia Romagna Grand Prix,VER,Red Bull Racing,1.0,1.0,26.0,Finished,1
2022,4,Emilia Romagna Grand Prix,PER,Red Bull Racing,3.0,2.0,18.0,Finished,1
2022,4,Emilia Romagna Grand Prix,NOR,McLaren,5.0,3.0,15.0,Finished,1
2022,4,Emilia Romagna Grand Prix,RUS,Mercedes,11.0,4.0,12.0,Finished,0
2022,4,Emilia Romagna Grand Prix,BOT,Alfa Romeo,7.0,5.0,10.0,Finished,0
2022,4,Emilia Romagna Grand Prix,LEC,Ferrari,2.0,6.0,8.0,Finished,0
2022,4,Emilia Romagna Grand Prix,TSU,AlphaTauri,12.0,7.0,6.0,Finished,0
2022,4,Emilia Romagna Grand Prix,VET,Aston Martin,13.0,8.0,4.0,Finished,0
2022,4,Emilia Romagna Grand Prix,MAG,Haas F1 Team,8.0,9.0,2.0,Finished,0
