season,round,avg_temp,avg_humidity,avg_wind,rainfall
2022,1,23.62,29.49,0.3,0
2022,2,25.42,59.66,2.36,0
2022,3,26.7,43.65,1.81,0
2022,4,12.9,83.17,1.48,0
2022,5,30.62,58.86,2.27,1
2022,6,36.57,7.11,3.49,0
2022,7,22.27,75.67,0.99,1
2022,8,25.44,59.49,1.53,0
2022,9,20.76,28.93,3.55,0
2022,10,18.25,59.75,1.46,1
2022,11,20.26,35.14,1.26,0
2022,12,30.16,47.73,1.95,0
2022,13,18.56,69.32,4.03,1
2022,14,21.79,40.52,1.52,0
2022,15,22.73,75.38,1.06,0
2022,16,27.73,33.15,1.36,0
2022,17,26.23,87.45,0.93,1
2022,18,16.72,86.21,2.04,1
2022,19,29.29,49.62,5.49,0
2022,20,24.31,34.44,1.34,0
2022,21,23.01,76.08,1.44,0
2022,22,28.58,61.68,2.61,0
2023,1,27.43,21.5,0.68,0
2023,2,26.09,57.79,1.77,0
2023,3,17.45,54.16,1.13,0
2023,4,24.86,49.22,1.08,0
2023,5,27.12,59.43,3.97,0
2023,6,25.07,45.86,1.01,1
2023,7,22.67,63.08,1.87,0
2023,8,18.53,63.9,1.94,0
2023,9,22.4,52.05,1.1,1
2023,10,21.47,56.19,3.02,0
2023,11,28.81,32.8,1.44,0
2023,12,17.87,61.93,1.59,1
2023,13,16.79,70.78,2.82,1
2023,14,29.33,42.32,1.14,0
2023,15,29.84,72.03,1.42,0
2023,16,27.29,42.32,1.83,0
2023,17,31.46,73.16,0.89,0
2023,18,29.96,41.91,3.31,0
2023,19,25.55,23.55,1.49,0
2023,20,20.46,58.17,1.31,1
2023,21,18.05,47.36,2.3,0
2023,22,26.96,51.0,1.79,0
2024,1,18.23,48.82,0.79,0
2024,2,25.53,62.34,1.3,0
2024,3,20.62,44.45,0.95,0
2024,4,21.69,43.43,2.24,0
2024,5,18.64,66.06,1.68,0
2024,6,28.52,59.01,3.08,0
2024,7,25.11,48.43,2.14,0
2024,8,21.6,63.99,0.98,0
2024,9,17.8,73.38,1.17,1
2024,10,24.13,63.44,2.12,1
2024,11,29.43,35.01,1.67,1
2024,12,15.77,67.33,1.35,1
2024,13,28.82,46.92,1.25,0
2024,14,21.33,49.58,1.68,0
2024,15,19.01,60.96,4.57,0
2024,16,33.1,32.29,1.52,0
2024,17,26.71,38.02,1.55,0
2024,18,30.79,74.65,0.96,0
2024,19,28.12,35.54,1.5,0
2024,20,19.89,51.05,2.15,0
2024,21,21.66,85.26,0.74,1
2024,22,17.83,47.86,2.9,0
2024,23,18.93,57.25,1.66,0
2024,24,26.77,51.45,1.9,0
2025,1,15.71,78.42,3.48,1
2025,2,27.22,18.23,2.19,0
2025,3,14.43,76.37,1.2,0
2025,4,27.05,45.33,2.11,0
2025,5,29.48,62.73,1.03,0
2025,6,26.57,63.02,1.05,1
2025,7,23.96,38.31,3.25,0
2025,8,22.21,52.52,0.98,0
2025,9,29.12,54.63,1.63,0
2025,10,24.04,27.98,1.04,1
2025,11,30.35,31.98,1.62,0
2025,12,17.92,78.37,1.48,1
2025,13,17.03,84.44,1.45,1
2025,14,22.08,57.24,2.15,0
2025,15,20.08,71.18,2.17,0
2025,16,26.76,42.6,1.96,0
2025,17,20.55,59.83,1.51,0
2025,18,29.07,74.36,1.11,1
2025,19,28.27,22.53,2.08,0
2025,20,26.41,23.23,1.85,0
2025,21,17.35,70.57,1.51,0
2025,22,16.73,37.77,1.44,0
2025,23,22.6,69.05,1.25,0
2025,24,26.67,60.44,1.57,0
2026,1,,,,0
2026,2,,,,0
2026,3,,,,0
2026,4,,,,0
2026,5,,,,0
2026,6,23.68,62.2,0.84,0
2026,7,,,,0
2026,8,34.47,29.8,1.52,0
2026,9,24.76,49.94,1.75,0
2026,10,,,,0
2026,11,,,,0
2026,12,,,,0
